"name","post_modified","post_date","byline","alt_text","description","place_name"
"151PRISUB003_0.jpg","08/20/2014","08/20/2014","Photo courtesy of flickr user Dougtone","Neighborhood in Princeton, NJ","Princeton Dougtone.",
"7800410BM0683_0.jpg","08/20/2014","08/20/2014","Brian McCord","Hawkins Spring Park","Kids on the playground at Hawkins Spring Park in Midlothian, Texas.","Midlothian"
"casper3.jpg","08/20/2014","08/20/2014","Photo: Casper Area Convention and Visitors Bureau","Casper Mountain Sled Dog Races in Casper, WY","Casper Mountain Sled Dog Races in Casper, WY.","Casper"
"concord2.jpg","08/20/2014","08/20/2014","Photo: Concord Monitor","A Skier Races at Gunstock Ski Area near Concord, NH","Concord, NH, is a Top 10 Winter Vacation City 2012. Belmont, Bow and Gilford Alpine ski teams compete at Gunstock Ski Area near Concord, NH.","Concord"
"bangor15.jpg","08/20/2014","08/20/2014","Photo: DowntownBangor.com","Lights Decorate West Market Square in Bangor, ME","Downtown Bangor's West Market Square in Maine decorated with Christmas lights.","Bangor"
"missoula3_1.jpg","08/20/2014","08/20/2014","Photo: Destination Missoula/Taylar Robbins","Mountains Dominate the Skyline in Missoula, MT","Missoula, MT is a Top 10 Winter Vacation City.",
"Waukesha_0.JPG","08/20/2014","08/20/2014","Photo: visitwaukesha.org","Sleigh Rides Are Popular in Waukesha, WI","Waukesha, Wisconsin is a Top 10 Winter Vacation City for 2012.","Waukesha"
"reno3_0.jpeg","08/20/2014","08/20/2014","Photo: visitrenotahoe.com","The Downtown Area in Reno, NV","Reno, Nevada is a Top 10 Winter Vacation City for 2012.","Reno"
"traverse city7.JPG","08/20/2014","08/20/2014","Photo: traversecity.com","Hockey Is Played on Frozen Lakes and Ponds in Traverse City, MI","Traverse City, Michigan is a Top 10 Winter Vacation City for 2012.","Traverse City"
"minneapolis7.jpg","08/20/2014","08/20/2014","Photo: Meet Minneapolis","A Snowboarder Gets Air in Minneapolis, MN","Minneapolis, MN is a Top 10 Winter Vacation City for 2012.","Minneapolis"
"Mt__Spokane_SU79KohF03ZNHRcmDreK-Xn_rgb_72 1_1.jpg","08/20/2014","08/20/2014","Photo: Visit Spokane","Mt. Spokane Ski Area Near Downtown Spokane, WA","Mt. Spoken ski area is only 30 minutes from downtown Spokane, WA. Photo courtesy of Visit Spokane.",
"Aurora September 2011 Roy Neese 2_0.jpg","08/20/2014","08/20/2014","Photo: Roy Neese","The Aurora Borealis Lights the Sky in Anchorage, AK","The aurora borealis lights up the night sky in Anchorage, AK. Photo by Roy Neese.","Anchorage"
"reno7.jpeg","08/20/2014","08/20/2014","Photo: visitrenotahoe.com","Reno, Nevada is a Top 10 Winter Vacation City for 2012","Reno, Nevada is a Top 10 Winter Vacation City for 2012",
"3431012MJC2993_1.jpg","08/20/2014","08/20/2014","Michael Conti","Golf in Elizabeth City, NC","The Pines of Elizabeth City golf course in Elizabeth City, North Carolina is one of the premier championship-level courses in the area.","Elizabeth City"
"3431012MJC1616_0.jpg","08/20/2014","08/20/2014","Michael Conti","Two and a Half Women in Elizabeth City, NC","Two and a Half Women is one of the many great locally owned shops in Elizabeth City, North Carolina, Pasquotank County.","Elizabeth City"
"34307ARCHED29_1.jpg","06/15/2017","08/20/2014",,"Restaurants in Elizabeth City, NC","Grilled Filet Mignon with pan-seared scallops and shrimp, accompanied by roasted potatoes and grilled squash at Monteros Restaurant in Elizabeth City, NC.","Elizabeth City"
"3431011jso9765_0_0.jpg","08/20/2014","08/20/2014","Jeffrey S. Otto","Muddy Waters Coffee House in Elizabeth City, NC","Muddy Waters Coffee House in downtown Elizabeth City, NC offers a place to hang out and enjoy an upscale cup of coffee, espresso, latte or other beverage and meet up with friends.","Elizabeth City"
"3430709THB0789_0.jpg","08/20/2014","08/20/2014","Todd Bennett","Toyama Japanese Restaurant and Sushi Bar in Elizabeth City, NC","The sashimi appetizer is a local favorite from Toyama Japanese Restaurant and Sushi Bar in Elizabeth City, NC. The town has many restaurants that include nouveau cuisine, Japanese, Key West-style food and more.","Elizabeth City"
"3431012MJC2598_1.jpg","08/20/2014","08/20/2014","Michael Conti","Community Waterfront in Elizabeth City, NC","The marina in Elizabeth City, North Carolina is a great place for outdoor recreation in the area.","Elizabeth City"
"7520811JWA0966_1.jpg","08/20/2014","08/20/2014","Jeff Adkins","Olde Victoria at The Oak Room in Victoria, TX","The Olde Victoria at The Oak Room restaurant in downtown Victoria, Texas is one of the popular dining spots in the area. The restaurant is located on the 12th floor of the One O'Connor Plaza building.","Victoria"
"7851012MBC8758_0.jpg","08/20/2014","08/20/2014","Martin Cherry","Simply Southern Bistro in Sumter, SC","Simply Southern Bistro is one of many great restaurants in the Sumter, SC area.",
"7851110THB1988_0.jpg","08/23/2017","08/20/2014","Todd Bennett","Hampton's Restaurant in Sumter, SC","Hampton's is an upscale restaurant in Sumter, SC, that features seasonably inspired menus, filled with fresh, local seafood, produce and meats, plus artisan breads and pastries made on-site daily.","Sumter"
"7851110THB1617_0_0.jpg","08/20/2014","08/20/2014","Todd Bennett","Swan Lake Iris Gardens in Sumter, SC","The Swan Lake Iris Gardens in Sumter, SC, are home to nearly 60 swans from all 8 species of swans and also thousands of Japanese Iris.",
"7851012MBC3404_0.jpg","08/20/2014","08/20/2014","Martin Cherry","The O'Donnel House in Sumter, SC","The O'Donnel House is one of many historic homes in Sumter, SC.",
"78503SUB016_1.jpg","08/20/2014","08/20/2014","Submitteds from Sumter Wine Fest","Sumter Wine Fest in Sumter, SC","Sumter Wine Fest gives attendees the opportunity to enjoy good wine for a good cause in Sumter, SC.",
"7370312AB0746.jpg","08/20/2014","08/20/2014","Antony Boshier","Back Porch Antique Shop in Marshfield, WI","Back Porch is just one of dozens of stores located in downtown Marshfield.","Marshfield"
"151RICSUB019_1.JPG","08/20/2014","08/20/2014","Photo: Allen Jones, VCU University Relations","VCU Medical Center in Richmond, VA","VCU Medical Center in Richmond, VA, is one of the area's top medical facilities.","Richmond"
"151RICSUB012_1.jpg","08/20/2014","08/20/2014","Photo: Travis Fullerton © Virginia Museum of Fine Arts","Virginia Museum of Fine Arts in Richmond, VA","The Virginia Museum of Fine Arts is a popular place for both residents and tourists to visit. Check out Richmond's","Richmond"
"151RICSUB013_0.jpg","08/20/2014","08/20/2014","Photo: Chris Hancock","Shockoe Slip Neighborhood in Richmond, VA","Richmond's Shockoe Slip neighborhood is just one of the city's great places to live, work and play. Discover more about","Richmond"
"151RICSUB007_1.jpg","08/20/2014","08/20/2014","Photo by Flickr user nikkorsnapper","Richmond International Airport in Richmond, VA","Richmond International Airport is one of Richmond's transportation assets. Photo by Flickr user","Richmond"
"151RICSUB008_1.jpg","08/20/2014","08/20/2014","Photo: Casey Templeton","Altria Group headquarters in Richmond, VA","Altria Group, one of Richmond's top employers, has its headquarters in the city. Learn more about Richmond's business climate.","Richmond"
"151RICSUB016_0.jpg","08/20/2014","08/20/2014","Photo by Flickr user rvaphotodude","Thomas Jefferson High School in Richmond, VA","Thomas Jefferson High School in Richmond is part of the Richmond Public Schools district. Photo by Flickr user","Richmond"
"151RICSUB010_1.jpg","08/20/2014","08/20/2014","Photo: Richmond Metropolitan Convention & Visitors Bureau","Kayaking on the James River in Richmond, VA","The James River in Richmond is a popular place to enjoy water sports. See more","Richmond"
"151RICSUB009_1.jpg","08/20/2014","08/20/2014","Photo: Jeff Greenberg",,"Carytown shopping area in Richmond, Virginia.","Richmond"
